ASV_ID	140	147	149	153	161	168	174	182	189	210	238	262	283	300	315
144e3876b7943b5474d329bec54856a4	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1
702860fda44c0d44ddacb5bd79fd5d24	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
35dbde30af820a2c3bcd85216229ad6a	34	74	7	34	18	143	67	4	4	12	34	49	12	40	51
58a5d06b791283b4270f688e0b7408c9	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0
07751ebfb567d65db3f366d9c4037e68	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0
0e94ac060981402de47bbf85360fea8b	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0
7f78afb7e1d45cd528fe9cd909c93fb5	5477	1983	3912	1983	2441	2441	3018	5335	1983	3912	6538	2410	3912	2410	6538
ce94860005cb569777791022ac3014af	0	3	4	0	0	4	0	2	0	0	0	2	0	4	0
09ee5eb3e6c726c7c8242f6e97453fc2	304	304	220	119	332	63	101	119	63	341	276	270	215	365	63
0fec351445f84bd482075ceda6123f46	2030	9302	7104	6526	9890	1531	2030	6242	9302	4290	9890	6526	6242	6846	7104
534d7b1bce2cf035866320576094f81e	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0
b4ac0621ed68fda2b501520e951949e1	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0
2c1453fb27de0eb5e19ae61028df3294	0	0	13	0	0	0	0	8	13	0	0	7	0	0	7
c6d0e484e529a485ffc0b1f08f1fb158	0	0	0	0	2	1	0	0	0	0	0	0	2	3	0
19463e5fe824700110e4a4ec8afe0512	6	7	42	137	23	42	17	6	203	11	6	9	9	42	54
135f3b8eaf65e4c59bcd692de4f6d6ae	0	6	0	3	0	0	0	0	7	0	0	0	0	0	0
7281c911136ba2bdcafebb9c71729dea	36	0	11	0	36	0	133	0	2	11	13	0	0	0	11
38b371de3be6ddef03bea94294e9830d	3	10	0	0	0	0	3	10	0	0	0	0	0	3	1
63f37ee4b481fccdffca10160ed5b944	4954	3416	4999	4793	4954	4954	5376	2854	2419	5864	1853	5864	5864	2419	4641
5976a56adfe903f7348b5eb5689e3c55	129	32	32	8	191	191	99	92	191	1	99	99	197	92	92
43a52ec4605b37f3671b33e61ff6fedd	3	46	76	76	52	0	0	3	91	3	44	91	25	25	0
ec92f6331d8ecb50e3f0dee8fbf3bcb0	16	2	4	164	2	1	18	164	16	1	2	4	2	4	16
ea156f972cd3802c3fac147e4200ba7a	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0
4adbf4beb8d2b17f63b543e4d9aa39b6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
93fadef301b62aa732e42bf1142b3afa	110	262	88	181	113	71	181	55	113	106	110	113	110	117	344
92f305372628ccbd74b7b28b933d306b	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
d42912a22b570ab99938b745999ae2cc	19	4	10	8	16	4	10	149	11	16	8	8	16	16	19
4bea53b2aad77f2569a0182f6b84255e	53	212	13	13	212	212	40	13	40	212	15	13	49	40	16
83adaf3a09d08c93f2abea6a4c815592	368	342	305	507	342	305	316	342	316	293	360	342	342	305	777
